GRUPO_MATERIAL,vc1,Min,Max,2,3,4,5,6,8,10,12,16,20,25,PROCESS
PO,175,150,200,0.015,0.023,0.031,0.04,0.048,0.066,0.079,0.091,0.111,0.125,0.136,
P1,175,150,200,0.015,0.023,0.031,0.04,0.048,0.066,0.079,0.091,0.111,0.125,0.136,
P2,165,140,190,0.012,0.019,0.026,0.033,0.04,0.055,0.067,0.077,0.096,0.111,0.125,
P3,140,120,160,0.012,0.018,0.024,0.03,0.036,0.049,0.059,0.069,0.084,0.097,0.107,
P4,120,90,150,0.01,0.016,0.021,0.027,0.032,0.044,0.053,0.062,0.077,0.089,0.1,
P5,80,60,100,0.009,0.013,0.018,0.022,0.027,0.037,0.044,0.051,0.063,0.071,0.078,
P6,62.5,50,75,0.012,0.019,0.026,0.033,0.04,0.055,0.067,0.077,0.096,0.111,0.125,
M1,102.5,90,115,0.01,0.016,0.021,0.027,0.032,0.044,0.053,0.062,0.077,0.089,0.1,
M2,70,60,80,0.009,0.013,0.018,0.022,0.027,0.037,0.044,0.051,0.063,0.071,0.078,
M3,65,60,70,0.015,0.023,0.031,0.04,0.048,0.066,0.079,0.091,0.111,0.125,0.136,
K1,135,120,150,0.012,0.019,0.026,0.033,0.04,0.055,0.067,0.077,0.096,0.111,0.125,
K2,125,110,140,0.01,0.016,0.021,0.027,0.032,0.044,0.053,0.062,0.077,0.089,0.1,
K3,120,110,130,0.012,0.019,0.026,0.033,0.04,0.055,0.067,0.077,0.096,0.111,0.125,
S1,70,50,90,0.01,0.016,0.021,0.027,0.032,0.044,0.053,0.062,0.077,0.089,0.1,
S2,65,50,80,0.007,0.01,0.014,0.018,0.021,0.029,0.035,0.041,0.051,0.059,0.067,
S3,32.5,25,40,0.008,0.013,0.017,0.023,0.028,0.04,0.049,0.057,0.071,0.082,0.092,
S4,55,50,60,0.008,0.013,0.017,0.023,0.028,0.04,0.049,0.057,0.071,0.082,0.092,
