NOMBRE,D1,D,D3,AP,L3,L,BCH,DIENTES,P,M,K,N,S,H,PLANEADO,RANURADO,ESCUADRA,CAVIDAD
H1TE4CH0200R005HAM,2,6,2,5,,50,0.2,4,1,1,1,0,0,0,0,1,1,0
H1TE4CH0250R006HAM,2.5,6,2.5,6,,50,0.2,4,1,1,1,0,0,0,0,1,1,0
H1TE4CH0300R007HAM,3,6,3,7,,54,0.3,4,1,1,1,0,0,0,0,1,1,0
H1TE4CH0350R008HAM,3.5,6,3.5,8,,54,0.3,4,1,1,1,0,0,0,0,1,1,0
H1TE4CH0400R012HAM,4,6,4,12,,55,0.4,4,1,1,1,0,0,0,0,1,1,0
H1TE4CH0500R013HAM,5,6,5,13.00,,57.00,0.40,4,1,1,1,0,0,0,0,1,1,0
H1TE4CH0600R013HAM,6,6,6,13.00,,57.00,0.40,4,1,1,1,0,0,0,0,1,1,0
H1TE4CH0800R016HAM,8,8,8,16.00,,63.00,0.40,4,1,1,1,0,0,0,0,1,1,0
H1TE4CH1000R022HAM,10,10,10,22.00,,72.00,0.50,4,1,1,1,0,0,0,0,1,1,0
H1TE4CH1200R026HAM,12,12,12,26.00,,83.00,0.50,4,1,1,1,0,0,0,0,1,1,0
H1TE4CH1400R026HAM,14,14,14,26.00,,83.00,0.50,4,1,1,1,0,0,0,0,1,1,0
H1TE4CH1600R032HAM,16,16,16,32.00,,92.00,0.50,4,1,1,1,0,0,0,0,1,1,0
H1TE4CH1800R032HAM,18,18,18,32.00,,92.00,0.50,4,1,1,1,0,0,0,0,1,1,0
H1TE4CH2000R038HAM,20,20,20,38.00,,104.00,0.50,4,1,1,1,0,0,0,0,1,1,0
H1TE4CH2500R045HAM,25,25,25,45.00,,121.00,0.50,4,1,1,1,0,0,0,0,1,1,0
H1TE4CH0200N006HAM,2,6,2,6.00,,57.00,0.10,4.00,1,1,1,0,0,0,1,1,0,0
H1TE4CH0250N006HAM,2.5,6,2.5,6.00,,57.00,0.10,4.00,1,1,1,0,0,0,1,1,0,0
H1TE4CH0300N008HAM,3,6,2.82,8.00,16.50,57.00,0.10,4.00,1,1,1,0,0,0,1,1,0,0
H1TE4CH0350N010HAM,3.5,6,3.29,10.00,16.50,57.00,0.10,4.00,1,1,1,0,0,0,1,1,0,0
H1TE4CH0400N011HAM,4,6,3.76,11.00,16.00,57.00,0.15,4.00,1,1,1,0,0,0,1,1,0,0
H1TE4CH0500N013HAM,5,6,4.7,13.00,18.00,57.00,0.15,4.00,1,1,1,0,0,0,1,1,0,0
H1TE4CH0600N013HAM,6,6,5.64,13.00,18.00,57.00,0.15,4.00,1,1,1,0,0,0,1,1,0,0
H1TE4CH0800N016HAM,8,8,7.52,16.00,24.00,63.00,0.20,4.00,1,1,1,0,0,0,1,1,0,0
H1TE4CH1000N022HAM,10,10,9.4,22.00,30.00,72.00,0.20,4.00,1,1,1,0,0,0,1,1,0,0
H1TE4CH1200N026HAM,12,12,11.28,26.00,36.00,83.00,0.20,4.00,1,1,1,0,0,0,1,1,0,0
H1TE4CH1400N026HAM,14,14,13.16,26.00,42.00,83.00,0.25,4.00,1,1,1,0,0,0,1,1,0,0
H1TE4CH1600N032HAM,16,16,15.04,32.00,48.00,92.00,0.35,4.00,1,1,1,0,0,0,1,1,0,0
H1TE4CH2000N038HAM,20,20,18.8,38.00,60.00,104.00,0.35,4.00,1,1,1,0,0,0,1,1,0,0
H1TE4CH2500N045HAM,25,25,24,45.00,75.00,121.00,0.35,4.00,1,1,1,0,0,0,1,1,0,0
H1TE4CH0200S004HAM,2.00,6,2.00,4.00,,54.00,0.1,4.0,1,1,1,0,0,0,0,1,1,1
H1TE4CH0250S005HAM,2.50,6,2.50,5.00,,54.00,0.1,4.0,1,1,1,0,0,0,0,1,1,1
H1TE4CH0300S006HAM,3.00,6,3.00,6.00,,54.00,0.1,4.0,1,1,1,0,0,0,0,1,1,1
H1TE4CH0350S007HAM,3.50,6,3.50,7.00,,54.00,0.1,4.0,1,1,1,0,0,0,0,1,1,1
H1TE4CH0400S008HAM,4.00,6,4.00,8.00,,54.00,0.2,4.0,1,1,1,0,0,0,0,1,1,1
H1TE4CH0500S009HAM,5.00,6,5.00,9.00,,54.00,0.2,4.0,1,1,1,0,0,0,0,1,1,1
H1TE4CH0600S010HAM,6.00,6,6.00,10.00,,54.00,0.2,4.0,1,1,1,0,0,0,0,1,1,1
H1TE4CH0800S012HAM,8.00,8,8.00,12.00,,58.00,0.2,4.0,1,1,1,0,0,0,0,1,1,1
H1TE4CH1000S014HAM,10.00,10,10.00,14.00,,66.00,0.3,4.0,1,1,1,0,0,0,0,1,1,1
H1TE4CH1200S016HAM,12.00,12,12.00,16.00,,73.00,0.3,4.0,1,1,1,0,0,0,0,1,1,1
H1TE4CH1400S018HAM,14.00,14,14.00,18.00,,75.00,0.3,4.0,1,1,1,0,0,0,0,1,1,1
H1TE4CH1600S022HAM,16.00,16,16.00,22.00,,82.00,0.4,4.0,1,1,1,0,0,0,0,1,1,1
H1TE4CH1800S024HAM,18.00,18,18.00,24.00,,92.00,0.4,4.0,1,1,1,0,0,0,0,1,1,1
H1TE4CH2000S026HAM,20.00,20,20.00,26.00,,92.00,0.4,4.0,1,1,1,0,0,0,0,1,1,1
H1TE4RA0400N006HAR025M,4,6,3.76,6.00,12.00,57.00,0.25,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA0400N006HAR050M,4,6,3.76,6.00,12.00,57.00,0.50,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA0600N009HAR050M,6,6,5.64,9.00,18.00,63.00,0.50,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA0600N009HAR100M,6,6,5.64,9.00,18.00,63.00,1.00,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA0800N012HAR050M,8,8,7.52,12.00,24.00,68.00,0.50,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA0800N012HAR100M,8,8,7.52,12.00,24.00,68.00,1.00,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA1000N015HAR050M,10,10,9.4,15.00,30.00,76.00,0.50,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA1000N015HAR100M,10,10,9.4,15.00,30.00,76.00,1.00,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA1000N015HAR200M,10,10,9.4,15.00,30.00,76.00,2.00,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA1000N015HAR300M,10,10,9.4,15.00,30.00,76.00,3.00,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA1000N015HAR400M,10,10,9.4,15.00,30.00,76.00,4.00,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA1200N018HAR050M,12,12,11.28,18.00,36.00,83.00,0.50,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA1200N018HAR100M,12,12,11.28,18.00,36.00,83.00,1.00,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA1200N018HAR200M,12,12,11.28,18.00,36.00,83.00,2.00,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA1200N018HAR300M,12,12,11.28,18.00,36.00,83.00,3.00,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA1200N018HAR400M,12,12,11.28,18.00,36.00,83.00,4.00,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA1600N024HAR050M,16,16,15.04,24.00,48.00,100.00,0.50,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA1600N024HAR100M,16,16,15.04,24.00,48.00,100.00,1.00,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA1600N024HAR200M,16,16,15.04,24.00,48.00,100.00,2.00,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA1600N024HAR300M,16,16,15.04,24.00,48.00,100.00,3.00,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA1600N024HAR400M,16,16,15.04,24.00,48.00,100.00,4.00,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA1600N024HAR600M,16,16,15.04,24.00,48.00,100.00,6.00,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA2000N030HAR050M,20,20,18.8,30.00,60.00,115.00,0.50,4.00,0,1,0,0,1,0,0,1,1,0
